@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 18388\nSize of the tree: 18409\n','Number of leaves: 16783\nSize of the tree: 16801\n','Number of leaves: 16248\nSize of the tree: 16265\n','Number of leaves: 17318\nSize of the tree: 17337\n','Number of leaves: 17848\nSize of the tree: 17867\n','Number of leaves: 17853\nSize of the tree: 17873\n','Number of leaves: 17313\nSize of the tree: 17331\n','Number of leaves: 19453\nSize of the tree: 19475\n','Number of leaves: 15713\nSize of the tree: 15729\n','Number of leaves: 18383\nSize of the tree: 18403\n','Number of leaves: 15178\nSize of the tree: 15193\n','Number of leaves: 18923\nSize of the tree: 18945\n','Number of leaves: 18918\nSize of the tree: 18939\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9125,1013,804,209,0,79.368213,20.631787,0,0,0.227899,0.337582,99.968781,99.999998,900.99891,900.998599,0.000311,0.889436,0.889436,0,0.198782,0.000196,0.022062,1,804,1,209,0,0,0,0,0.793682,1,0.884975,?,0.5,0.793682,0.793682,0.793682,0.206318,0.206318,?,0.793682,?,?,0.5,0.658115,?,0.793682,0.041,0,0.0468,0,46.8003,0,1377832,3465992,1608344,95.557749,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.036,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.032,0.001,0.0468,0,46.8003,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.036,0,0.0468,0,46.8003,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.032,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.032,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.032,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.038,0.001,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,804,210,0,79.289941,20.710059,0,0,0.228258,0.338179,99.968878,100.000063,905.489092,905.492205,-0.003114,0.892987,0.89299,-0.000003,0.198678,0.000196,0.021941,1,804,1,210,0,0,0,0,0.792899,1,0.884488,?,0.5,0.792899,0.792899,0.792899,0.207101,0.207101,?,0.792899,?,?,0.5,0.656906,?,0.792899,0.037,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.463511,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9125,1013,804,209,0,79.368213,20.631787,0,0,0.227899,0.337582,99.968781,99.999998,900.99891,900.998599,0.000311,0.889436,0.889436,0,0.198782,0.000196,0.022062,1,804,1,209,0,0,0,0,0.793682,1,0.884975,?,0.5,0.793682,0.793682,0.793682,0.206318,0.206318,?,0.793682,?,?,0.5,0.658115,?,0.793682,0.032,0,0.0312,0,31.2002,0,1377832,3465992,1608344,95.557749,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
